# Time-averaged data for fix 4
# TimeStep c_msdData1[1] c_msdData1[2] c_msdData1[3] c_msdData1[4]
888000 0.00220863 2.22829 3.28347 5.51397
896000 0.0378684 2.58457 3.61453 6.23696
904000 0.0379492 2.50038 3.01248 5.55081
912000 0.0173893 3.73746 3.91836 7.67321
920000 0.11869 1.86243 2.81829 4.79941
928000 0.0367742 2.44324 3.14217 5.62218
936000 0.00661702 2.66794 3.44637 6.12093
944000 4.9372e-05 2.34 2.96242 5.30247
952000 0.0242679 1.99444 3.55098 5.56969
960000 0.363738 1.9594 4.99767 7.32081
968000 0.0136558 2.26692 4.10931 6.38988
976000 0.0307125 2.63154 3.7521 6.41435
984000 0.00675417 2.23888 3.11696 5.3626
992000 0.0788751 2.36011 2.81449 5.25348
1000000 2.63547e-06 2.1031 3.88414 5.98724
1008000 0.0121883 2.64114 3.92043 6.57376
1016000 0.00475038 2.27449 2.61191 4.89116
1024000 0.0849209 1.74732 3.45625 5.28849
1032000 0.0849671 2.49358 2.36484 4.94338
1040000 0.00243118 1.80702 3.3576 5.16706
1048000 0.0494137 2.85676 3.32662 6.2328
1056000 0.000125074 2.29235 3.16419 5.45667
1064000 0.115326 2.2356 3.14854 5.49947
1072000 0.010989 1.80936 3.18933 5.00968
1080000 0.000368881 1.83457 3.36679 5.20174
1088000 0.0148305 2.53916 3.57191 6.1259
1096000 0.0755278 2.21651 3.50163 5.79368
1104000 0.00807675 3.17851 4.27989 7.46648
1112000 0.0160848 1.94976 2.68225 4.6481
1120000 0.0128158 2.64773 3.45647 6.11702
1128000 0.0136721 2.6513 3.25257 5.91754
1136000 0.030606 2.08952 3.98038 6.1005
1144000 0.0398707 2.40282 3.43071 5.8734
1152000 0.149439 2.17421 3.0731 5.39675
1160000 0.0178044 1.85231 2.72353 4.59364
1168000 0.0321223 2.83315 2.49541 5.36068
1176000 0.0189048 2.08798 3.12432 5.23121
1184000 0.0459077 1.89645 2.76944 4.7118
1192000 0.000152206 2.77216 3.34806 6.12038
1200000 0.0491337 2.90229 3.30069 6.25211
1208000 0.00872022 2.57643 3.02363 5.60878
1216000 0.0177033 2.64471 2.57865 5.24106
1224000 0.0114682 2.06044 3.81195 5.88385
1232000 0.167761 1.93615 3.26192 5.36583
1240000 0.0835667 2.44599 2.9547 5.48426
1248000 0.0203973 3.11413 3.1235 6.25802
1256000 0.131874 1.97237 3.57027 5.67452
1264000 0.000536117 2.43017 3.21879 5.6495
1272000 0.0402196 2.68494 3.72593 6.45108
1280000 0.00653067 2.15332 3.49918 5.65904
1288000 0.115714 2.31635 4.06319 6.49525
1296000 0.0635841 2.22813 3.01929 5.311
1304000 0.0379402 1.87966 3.15562 5.07322
1312000 0.101593 1.58857 3.18086 4.87102
1320000 0.0118606 2.28048 3.93059 6.22292
1328000 0.0111632 2.28983 3.51047 5.81146
1336000 0.0173009 2.01213 3.98254 6.01198
1344000 0.00870726 3.00864 3.7186 6.73595
1352000 0.00840526 2.69044 3.5402 6.23905
1360000 0.00186675 1.99295 2.86268 4.8575
1368000 0.0925522 2.2227 2.9292 5.24445
1376000 0.0486541 1.75798 3.57282 5.37946
1384000 0.0317543 1.17137 3.14624 4.34937
1392000 0.000378228 3.05019 2.65856 5.70913
1400000 0.0836507 2.15426 3.20985 5.44776
1408000 0.000763661 2.32986 3.03828 5.3689
1416000 0.00173808 2.60658 3.58029 6.18861
1424000 0.00113755 2.35263 3.01728 5.37105
1432000 0.0232067 2.21113 3.90594 6.14028
1440000 0.0286771 2.09697 2.26961 4.39526
1448000 0.0599637 2.18796 2.6865 4.93442
1456000 0.00169735 2.37258 3.06154 5.43582
1464000 0.0202074 2.23981 3.19499 5.45501
1472000 0.0121186 2.6874 3.88525 6.58478
1480000 0.000126497 2.41924 3.97 6.38937
1488000 0.0133499 3.00964 2.88923 5.91222
1496000 0.0906223 2.01191 3.54339 5.64593
1504000 0.000980404 2.92724 3.42642 6.35464
1512000 0.00104338 2.4027 2.91385 5.31759
1520000 0.0434581 3.2881 3.87069 7.20225
1528000 0.00152819 1.98278 3.88371 5.86802
1536000 0.000812555 2.6118 3.33329 5.9459
1544000 0.0266859 2.29141 2.66659 4.98468
1552000 0.109883 2.37265 2.36531 4.84785
1560000 0.0307717 1.99494 3.56153 5.58724
1568000 0.172615 1.80772 4.25568 6.23601
1576000 0.00106974 2.70774 3.39093 6.09974
1584000 0.000859555 3.52375 3.44499 6.96959
1592000 0.0385959 2.16259 3.47471 5.67589
1600000 0.146212 2.13275 2.26183 4.54078
1608000 0.000104369 2.5971 3.66235 6.25955
1616000 0.0377775 1.71832 3.54419 5.30028
1624000 0.0458955 1.91466 3.80034 5.7609
1632000 0.0705891 2.1058 3.42844 5.60483
1640000 0.0444501 2.41243 4.456 6.91288
1648000 0.102248 1.95301 2.9934 5.04866
1656000 0.0395302 1.60178 3.89317 5.53448
1664000 0.0471453 1.93488 3.5314 5.51343
1672000 0.0163129 2.20276 3.85598 6.07505
1680000 0.00996162 2.15051 3.50338 5.66385
1688000 0.0697141 2.96212 2.83639 5.86822
1696000 0.0392189 2.20235 2.42869 4.67026
1704000 0.0641902 2.67456 3.09232 5.83107
1712000 0.000536685 2.18722 3.50372 5.69148
1720000 2.80948 2.6214 11.6084 17.0392
1728000 3.72576 2.64692 14.0832 20.4559
1736000 2.8763 2.35933 11.8388 17.0745
1744000 3.01699 2.24465 11.2735 16.5351
1752000 2.61742 2.56953 11.6733 16.8603
1760000 2.25789 2.01233 12.9301 17.2003
1768000 2.81407 2.48881 14.1358 19.4386
1776000 3.34909 3.16078 12.9707 19.4806
1784000 2.80315 2.86918 13.1956 18.8679
1792000 2.35737 2.43697 12.4025 17.1968
1800000 2.80874 2.33164 12.372 17.5124
1808000 2.42611 2.4175 13.4903 18.334
1816000 2.93506 1.94001 13.6782 18.5532
1824000 2.2238 2.45164 12.7279 17.4034
1832000 1.78078 1.90085 11.0741 14.7558
1840000 3.16392 2.2928 11.2479 16.7046
1848000 3.9987 1.80528 13.3547 19.1587
1856000 2.9293 2.70209 12.5537 18.1851
1864000 3.05882 2.22807 13.8557 19.1426
1872000 1.66936 2.10658 11.4889 15.2649
1880000 2.43175 2.64853 11.8736 16.9539
1888000 2.9392 1.46461 12.3613 16.7651
1896000 2.87923 2.04051 14.4231 19.3428
1904000 2.30844 2.31835 12.8864 17.5132
1912000 2.75582 2.23357 11.1998 16.1891
